platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,ehmhocjlcagmfeokjhmgmednhbdhpgep,binance-cryptocurrency-pr,Binance cryptocurrency price alerts,4.75,"1,000",arslan ali hunzai,2020-09-06 00:00:00
chrome,afommmnmohdebmgabmbglefkbholcobb,traderboxio-binance-exten,Traderbox.io Binance Extension,4.8,52,Traderbox.io,2020-08-29 00:00:00
chrome,jdbkfmneiiiihofbccenainnlipalonj,binance-news-notification,Binance News Notification,0.0,4,chiahoahong,2020-06-09 00:00:00
chrome,nbojhgkmkpakgfljijgnfofliafnbbfk,cryptocurrency-volume-mom,Cryptocurrency volume momentum indicator,5.0,138,arslan ali hunzai,2020-06-01 00:00:00
chrome,ondajjlhahcmbfdmkpcmdmbbjkdimlob,poker-now-ledger,Poker Now Ledger,5.0,282,adhyyan1252,2020-08-26 00:00:00
chrome,nfgkjnippgahnedamcjhoankdmfegbhc,heath-ledger-wallpaper-hd,Heath Ledger Wallpaper HD,0.0,16,https://lovelytab.com/,2020-07-20 00:00:00
chrome,mebalpjlaipopoeiekhmfkmoifpkfaki,fetchai-web-wallet,Fetch.ai Web Wallet,0.0,38,Fetch.AI,2020-04-24 00:00:00
chrome,gkhhaokpfelnkknjbpampjiboffiogji,currency-converter,Currency Converter,2.5,390,faddevataissia,2020-07-03 00:00:00
chrome,afbcbjpbpfadlkmhmclhkeeodmamcflc,math-wallet,Math Wallet,4.5,"10,000",Math Global,2020-11-11 00:00:00
chrome,kpfopkelmapcoipemfendmdcghnegimn,liquality-wallet,Liquality Wallet,5.0,745,Liquality,2020-11-17 00:00:00
chrome,imloifkgjagghnncjkhggdhalmcnfklk,trezor-password-manager,Trezor Password Manager,3.8815789473684212,"10,000",SatoshiLabs,2020-04-16 00:00:00
chrome,nngceckbapebfimnlniiiahkandclblb,bitwarden-free-password-m,Bitwarden - Free Password Manager,4.841012658227848,"700,000",Bitwarden Inc.,2020-11-13 00:00:00
chrome,ikfpehdjeegfahjbiphjicbcplhlejam,huobichain-wallet,HuobiChain Wallet,0.0,0,Huobi Blockchain,2020-11-23 00:00:00
chrome,oggbildghlaglfmmpekjgejajohilbmm,huobichain-wallet,HuobiChain Wallet,0.0,0,Huobi Blockchain,2020-11-22 00:00:00
chrome,iloecoadcnbkhepoaacjnegdmhapiiek,bitstamp-ticker,Bitstamp Ticker,4.5,97,Piotrek,2020-07-30 00:00:00
